Table|Column|Type|Lenght|Default|Options|Primary|Unique|ForeignTable|ForeignColumn
0|0|VARCHAR|100||NOT NULL|true|false||
0|1|VARCHAR|100||NOT NULL|false|true||
0|2|VARCHAR|100|||false|false||
0|3|VARCHAR|100||NOT NULL|false|false||
0|21|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|4|VARCHAR|100||NOT NULL|true|false||
1|5|VARCHAR|100|||false|false||
1|6|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|7|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|8|VARCHAR|100|'application/octet-stream'|NOT NULL|false|false||
1|9|BIGINT||0|NOT NULL|false|false||
1|10|BOOLEAN||FALSE|NOT NULL|false|false||
1|11|SMALLINT||0|NOT NULL|false|false||
1|21|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
2|0|VARCHAR|100||NOT NULL|true|false|Users|UserId
2|4|VARCHAR|100||NOT NULL|true|false|Items|ItemId
2|12|VARCHAR|100||NOT NULL|true|false|Items|ItemId
2|21|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
3|0|VARCHAR|100||NOT NULL|true|false|Users|UserId
3|4|VARCHAR|100||NOT NULL|true|false|Items|ItemId
3|13|BOOLEAN||TRUE|NOT NULL|false|false||
3|14|BOOLEAN||TRUE|NOT NULL|false|false||
3|15|BOOLEAN||FALSE|NOT NULL|false|false||
3|16|BOOLEAN||FALSE|NOT NULL|false|false||
3|21|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
4|17|VARCHAR|100||NOT NULL|true|false||
4|0|VARCHAR|100||NOT NULL|false|false|Users|UserId
4|21|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
5|18|BIGINT|||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
5|0|VARCHAR|100||NOT NULL|false|false|Users|UserId
5|4|VARCHAR|100||NOT NULL|false|false|Items|ItemId
5|19|VARCHAR|100||NOT NULL|false|false||
5|20|SMALLINT||0|NOT NULL|false|false||
5|21|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
