Table|Column|TypeName|Type|Scale|IsNullable|DefaultValue|IsRowVersion|IsAutoIncrement|Primary
0|0|VARCHAR|12|320|0||||true
0|1|VARCHAR|12|100|0||||
0|2|VARCHAR|12|100|1||||
0|3|VARCHAR|12|256|0||||
0|4|VARCHAR|12|256|0||||
0|5|VARCHAR|12|1000|0|''|||
0|6|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
0|7|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
0|21|TIMESTAMP WITH TIME ZONE|2014|6|0|CURRENT_TIMESTAMP(6)|||
1|0|VARCHAR|12|320|0||||
1|8|VARCHAR|12|256|0||||true
1|9|VARCHAR|12|100|0||||
1|6|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
1|7|TIMESTAMP|93|6|0|CURRENT_TIMESTAMP(6)|||
1|10|VARCHAR|12|100|0|'application/octet-stream'|||
1|11|BIGINT|-5||0|0|||
1|12|VARCHAR|12|256|0|''|||
1|13|BOOLEAN|16||0|FALSE|||
1|14|SMALLINT|5||0|0|||
1|20|SMALLINT|5||0|0|||
1|21|TIMESTAMP WITH TIME ZONE|2014|6|0|CURRENT_TIMESTAMP(6)|||
1|22|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
1|23|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
2|0|VARCHAR|12|320|0||||
2|8|VARCHAR|12|256|0||||
2|15|VARCHAR|12|256|0||||
2|20|SMALLINT|5||0|0|||
2|21|TIMESTAMP WITH TIME ZONE|2014|6|0|CURRENT_TIMESTAMP(6)|||
2|22|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
2|23|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
3|0|VARCHAR|12|320|0||||true
3|8|VARCHAR|12|256|0||||true
3|16|BOOLEAN|16||0|TRUE|||
3|17|BOOLEAN|16||0|TRUE|||
3|18|BOOLEAN|16||0|FALSE|||
3|19|BOOLEAN|16||0|FALSE|||
3|21|TIMESTAMP WITH TIME ZONE|2014|6|0|CURRENT_TIMESTAMP(6)|||
3|22|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
3|23|TIMESTAMP WITH TIME ZONE|2014|6|0||true||
4|0|VARCHAR|12|320|0||||
4|8|VARCHAR|12|256|0||||true
4|21|TIMESTAMP WITH TIME ZONE|2014|6|0|CURRENT_TIMESTAMP(6)|||
